"ID","weight","weight_2","Country_code","Country_name","Age_cat","Female","Income","Higher_edu","Home_ownership","Dwelling_house","Dwelling_size","Rural","Env_concern","Env_policy_public","Env_policy_costs","Env_policy_subsidy","Env_policy_tax","Env_policy_standards","Env_policy_liH","Adoption","Gov_support","EPS"
"7dcaf260-4150-11ec-9d60-6bbe8b246b80",0.983783243085551,1.00691961265929,3,"FR","45-54",1,"quintile 2",0,0,1,"76–100 m²",0,0,0,1,0,0,0,0,1,0,4.17
"9aa6cfb0-4152-11ec-9665-8f92048dd8b3",0.947364580447141,0.930720470117696,2,"UK","35-44",1,"quintile 1",0,0,1,"Don't know",0,1,0,0,1,1,1,1,1,0,3.45
"xPPbOEzVK9+ECez2TP0C9daKXlNn/HkrvQnsoRqlO3Y=",0.831425573857212,0.706924691442615,6,"CH","55+",1,"quintile 1",0,0,0,"51–75 m²",1,1,0,0,1,1,1,1,0,0,3.97
"5cd1d440-8c1d-11ec-892a-65a5ff4c26c7",0.956499692569294,0.897479877104624,2,"UK","35-44",1,"quintile 4",1,1,0,"Don't know",1,0,1,0,1,1,1,0,1,0,3.45
"9cd5abe0-4151-11ec-b654-e15f353949ca",0.88751912512082,0.834801880007981,3,"FR","35-44",1,"quintile 4",1,1,1,"More than 200 m²",1,1,0,0,1,1,1,1,0,0,4.17
"rhBT7W2CjEy2I+Op1GKZs2fmUYKdiYO4tZ4+hCbkZk4=",0.92297332171623,0.787379077619448,6,"CH","55+",0,"quintile 5",1,1,0,"101–150 m²",1,1,0,1,1,1,1,1,1,0,3.97
"720c6650-4154-11ec-8443-7ffa3eb28a61",1.01344342530236,0.982067626452751,3,"FR","25-34",1,"quintile 1",0,0,1,"76–100 m²",1,1,0,0,1,1,0,1,1,1,4.17
"10575f00-4153-11ec-a8d5-9993d8bc145b",1.22089110675211,1.30446181528558,3,"FR","25-34",0,"quintile 3",1,0,0,"26–50 m²",1,1,1,0,1,0,1,1,0,0,4.17
"b5591800-9248-11ec-b2f4-95612728291b",1.04363980200611,1.00613245340301,2,"UK","45-54",1,"quintile 1",0,1,1,"Don't know",1,0,0,0,1,1,1,1,0,0,3.45
"1a7c4e40-4154-11ec-b6ad-b1937dcf3cd5",1.03685755985976,0.933127439591541,2,"UK","45-54",0,"quintile 4",0,1,1,"Don't know",0,1,1,1,1,1,1,1,1,0,3.45
"9c6df320-4151-11ec-bddf-cfb703b59fb2",1.04688889355038,1.0532336441789,3,"FR","25-34",1,"quintile 2",1,1,1,"101–150 m²",0,0,0,0,0,0,0,1,0,0,4.17
"8e7d79b0-4150-11ec-936a-958886a0ea7b",0.976458578599612,0.91358969546964,3,"FR","45-54",1,"quintile 4",1,1,1,"76–100 m²",1,0,0,0,1,1,0,1,0,0,4.17
